Description,mount
COURT COSTS ON MISDEMEANOR,415
DA COUNCIL PROSECUTION ASSESSMENT FOR MISDEMEANOR,180
OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND,150
MEDICAL EXPENSE LIABILITY REVOLVING FUND,60
TRAUMA CARE ASSISTANCE REVOLVING FUND,250
AFIS FEE,60
CLEET PENALTY ASSESSMENT,60
FORENSIC SCIENCE IMPROVEMENT ASSESSMENT,60
SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY,60
LAW LIBRARY FEE,36
SHERIFF'S SERVICE FEE ON ARRESTS,30
ATTORNEY GENERAL VICTIM SERVICES UNIT,18
C.H.A.B. STATUTORY FEE,18
FINES PAYABLE TO COUNTY,20
FINES PAYABLE TO COUNTY***,800
SURETY BOND FOR WING  BOSEAPHUS POSTED BY DOHERTY  RICK (MULTICOUNTY AGENT:MERRILL BONDING ) (POWER NUMBER:760 )  COUNT NUMBER 1  IN THE AMOUNT OF $1 000.00  POSTED 01/04/2019                      Document Available at Court Clerk's Office,35
VICTIMS COMPENSATION ASSESSMENT (AC12)****,100
TRAUMA CARE ASSISTANCE REVOLVING FUND***,100
BUREAU OF NARCOTICS DRUG EDUCATION REVOLVING FUND,5
SURETY BOND FOR DUTY  NICOLE GIERE POSTED BY ALLCORN  DRU (PROFESSIONAL:MORTON  STEPHEN) (POWER NUMBER:7464 )  COUNT NUMBER 1  IN THE AMOUNT OF $1 000.00  POSTED 01/09/2019                      Document Available at Court Clerk's Office,35
SURETY BOND FOR DUTY  NICOLE GIERE POSTED BY ALLCORN  DRU (PROFESSIONAL:MORTON  STEPHEN) (POWER NUMBER:7463 )  COUNT NUMBER 2  IN THE AMOUNT OF $1 000.00  POSTED 01/09/2019                      Document Available at Court Clerk's Office,35
SHERIFF'S FUND - INMATE JAIL COSTS                      Document Available at Court Clerk's Office,870
PROFESSIONAL BOND FOR GREGORY  JOANIE IRENE POSTED BY MORTON  STEPHEN (PROFESSIONAL:MORTON  STEPHEN) (POWER NUMBER:7034 )  COUNT NUMBER 1  IN THE AMOUNT OF $3 000.00  POSTED 12/27/2018                      Document Available at Court Clerk's Office,35
COURT COSTS ON DUI,333
DPS PATROL VEHICLE FUND FEE ASSESSMENT,155
DPS IMPAIRED DRIVER DATABASE FEE,15
VICTIMS COMPENSATION ASSESSMENT (AC12)***,100
DRUG ABUSE EDUCATION/TREATMENT FEE (MENTAL HEALTH)***,100
SURETY BOND FOR WING  BOSEAPHUS POSTED BY DOHERTY  RICK (MULTICOUNTY AGENT:MERRILL BONDING ) (POWER NUMBER:749 )  IN THE AMOUNT OF $1 000.00  POSTED 12/19/2018                      Document Available at Court Clerk's Office,35
