ellis,2053,3244819,181
pushmataha,5006,15432765,443
rogermills,1700,4933002,111
logan,17071,38902304,1477
alfalfa,63,68190,3
adair,7670,30752206,652
grant,56,103570,2
kiowa,212,454240,8
greer,347,733958,12
jefferson,131,267310,5
canadian,37597,106870977,3244
nowata,380,539140,64
cleveland,24403,64399749,1748
seminole,162,465590,51
noble,293,626940,53
washita,307,749419,6
garfield,20592,58284878,1956
choctaw,253,530368,9
marshall,238,492200,9
rogers,42861,83610024,4063
payne,36551,86696763,2758
comanche,17636,51143487,2818
love,294,692889,13
caddo,184,284670,4
leflore,659,1315520,26
craig,163,247010,5
bristow,218,370140,8
stephens,480,584080,21
kay,76,296700,3
beaver,78,86580,3
mayes,719,890987,64
dewey,262,256210,10
mccurtain,1440,1847910,65
tillman,35,90290,2
delaware,443,963330,29
okmulgee,385,543150,16
cotton,134,205490,8
murray,232,792600,3
cherokee,33,41020,2
mcintosh,194,205949,9
woodward,224,354510,9
tulsa,1820,4493218,126
beckham,662,1339090,10
latimer,42,52800,2
pottawatomie,414,620670,26
wagoner,199,224910,7
okfuskee,51,151700,3
haskell,28,148900,1
cimarron,20,24600,1
custer,682,882170,2
washington,361,519900,8
hughes,28,50938,2
major,25,36019,1
oklahoma,663,2033490,49
sequoyah,107,176600,4
grady,102,175600,4
woods,13,25190,1
ottawa,187,253250,7
atoka,129,158220,5
creek,42,39190,2
mcclain,116,370030,5
muskogee,151,257600,5
carter,113,207250,4
osage,120,212640,7
pawnee,15,14500,1
pittsburg,262,639900,11
blaine,154,168900,6
jackson,132,142290,5
lincoln,29,35400,1
texas,52,52420,3
bryan,50,57300,2
